bin,encoder_phase_counts,detrended_error_arcsec
0.000000000000000000e+00,0.000000000000000000e+00,-7.423026804316616278e+01
1.000000000000000000e+00,3.276800000000000068e+02,-6.917356856588223479e+01
2.000000000000000000e+00,6.553600000000000136e+02,-6.772819380351948837e+01
3.000000000000000000e+00,9.830399999999999636e+02,-6.655152578263779617e+01
4.000000000000000000e+00,1.310720000000000027e+03,-6.524571854652687364e+01
5.000000000000000000e+00,1.638400000000000091e+03,-6.446921983574846138e+01
6.000000000000000000e+00,1.966079999999999927e+03,-6.317658551317253313e+01
7.000000000000000000e+00,2.293760000000000218e+03,-6.232641532610813329e+01
8.000000000000000000e+00,2.621440000000000055e+03,-6.123004425829390840e+01
9.000000000000000000e+00,2.949119999999999891e+03,-5.985998652329300995e+01
1.000000000000000000e+01,3.276800000000000182e+03,-5.891308218785095363e+01
1.100000000000000000e+01,3.604480000000000018e+03,-5.829250752116846712e+01
1.200000000000000000e+01,3.932159999999999854e+03,-5.795619764238778515e+01
1.300000000000000000e+01,4.259840000000000146e+03,-5.723561187938844341e+01
1.400000000000000000e+01,4.587520000000000437e+03,-5.556501554143800803e+01
1.500000000000000000e+01,4.915199999999999818e+03,-5.479458478663664778e+01
1.600000000000000000e+01,5.242880000000000109e+03,-5.476575005201812019e+01
1.700000000000000000e+01,5.570560000000000400e+03,-5.446490469278644042e+01
1.800000000000000000e+01,5.898239999999999782e+03,-5.346386639747105818e+01
1.900000000000000000e+01,6.225920000000000073e+03,-5.189387988959087039e+01
2.000000000000000000e+01,6.553600000000000364e+03,-5.161380013502184738e+01
2.100000000000000000e+01,6.881279999999999745e+03,-5.207529493542433130e+01
2.200000000000000000e+01,7.208960000000000036e+03,-5.174590252937642276e+01
2.300000000000000000e+01,7.536640000000000327e+03,-5.030497955831566514e+01
2.400000000000000000e+01,7.864319999999999709e+03,-4.848544604369493527e+01
2.500000000000000000e+01,8.192000000000000000e+03,-4.825976712316480643e+01
2.600000000000000000e+01,8.519680000000000291e+03,-4.814708244690745431e+01
2.700000000000000000e+01,8.847360000000000582e+03,-4.777843882536236464e+01
2.800000000000000000e+01,9.175040000000000873e+03,-4.603122912347547668e+01
2.900000000000000000e+01,9.502719999999999345e+03,-4.436721014824218656e+01
3.000000000000000000e+01,9.830399999999999636e+03,-4.379531860384583553e+01
3.100000000000000000e+01,1.015807999999999993e+04,-4.349041590235436416e+01
3.200000000000000000e+01,1.048576000000000022e+04,-4.274576728900192535e+01
3.300000000000000000e+01,1.081344000000000051e+04,-4.102818452971484220e+01
3.400000000000000000e+01,1.114112000000000080e+04,-3.904822833839487117e+01
3.500000000000000000e+01,1.146880000000000109e+04,-3.797414518954413865e+01
3.600000000000000000e+01,1.179647999999999956e+04,-3.726843825899584317e+01
3.700000000000000000e+01,1.212415999999999985e+04,-3.723982192060475427e+01
3.800000000000000000e+01,1.245184000000000015e+04,-3.581219130721214583e+01
3.900000000000000000e+01,1.277952000000000044e+04,-3.371357630069834954e+01
4.000000000000000000e+01,1.310720000000000073e+04,-3.206460064262844867e+01
4.100000000000000000e+01,1.343488000000000102e+04,-3.202402845124575492e+01
4.200000000000000000e+01,1.376255999999999949e+04,-3.233031165794100303e+01
4.300000000000000000e+01,1.409023999999999978e+04,-3.053530948110433840e+01
4.400000000000000000e+01,1.441792000000000007e+04,-2.737327053193139292e+01
4.500000000000000000e+01,1.474560000000000036e+04,-2.556370308522496160e+01
4.600000000000000000e+01,1.507328000000000065e+04,-2.535491387586738554e+01
4.700000000000000000e+01,1.540096000000000095e+04,-2.418450139342668948e+01
4.800000000000000000e+01,1.572863999999999942e+04,-2.127722019294740008e+01
4.900000000000000000e+01,1.605631999999999971e+04,-1.888587120068218539e+01
5.000000000000000000e+01,1.638400000000000000e+04,-1.814929813204541276e+01
5.100000000000000000e+01,1.671168000000000029e+04,-1.751997495739552591e+01
5.200000000000000000e+01,1.703936000000000058e+04,-1.601481309102916128e+01
5.300000000000000000e+01,1.736704000000000087e+04,-1.397201082043592812e+01
5.400000000000000000e+01,1.769472000000000116e+04,-1.275316128086320333e+01
5.500000000000000000e+01,1.802240000000000146e+04,-1.230287634856315293e+01
5.600000000000000000e+01,1.835008000000000175e+04,-1.157195554453420350e+01
5.700000000000000000e+01,1.867776000000000204e+04,-9.622982650311255881e+00
5.800000000000000000e+01,1.900543999999999869e+04,-7.930465356137401223e+00
5.900000000000000000e+01,1.933311999999999898e+04,-6.913334643255336864e+00
6.000000000000000000e+01,1.966079999999999927e+04,-5.704112820875799628e+00
6.100000000000000000e+01,1.998847999999999956e+04,-3.753097930957748130e+00
6.200000000000000000e+01,2.031615999999999985e+04,-6.977006377613980126e-01
6.300000000000000000e+01,2.064384000000000015e+04,8.543710557545480810e-01
6.400000000000000000e+01,2.097152000000000044e+04,2.039813233328106268e+00
6.500000000000000000e+01,2.129920000000000073e+04,3.498354399546137472e+00
6.600000000000000000e+01,2.162688000000000102e+04,5.030777824407098642e+00
6.700000000000000000e+01,2.195456000000000131e+04,6.132958235673051206e+00
6.800000000000000000e+01,2.228224000000000160e+04,7.029656535523763239e+00
6.900000000000000000e+01,2.260992000000000189e+04,7.289131999062526290e+00
7.000000000000000000e+01,2.293760000000000218e+04,6.755884047123527303e+00
7.100000000000000000e+01,2.326527999999999884e+04,6.621796045824592802e+00
7.200000000000000000e+01,2.359295999999999913e+04,6.627562645938546382e+00
7.300000000000000000e+01,2.392063999999999942e+04,6.897857602636650931e+00
7.400000000000000000e+01,2.424831999999999971e+04,6.998958512323315340e+00
7.500000000000000000e+01,2.457600000000000000e+04,6.084644073353523197e+00
7.600000000000000000e+01,2.490368000000000029e+04,5.371919092884550828e+00
7.700000000000000000e+01,2.523136000000000058e+04,5.475896897180057010e+00
7.800000000000000000e+01,2.555904000000000087e+04,5.308475349352437256e+00
7.900000000000000000e+01,2.588672000000000116e+04,5.025693026786481887e+00
8.000000000000000000e+01,2.621440000000000146e+04,4.242947746974486734e+00
8.100000000000000000e+01,2.654208000000000175e+04,3.532691879058061257e+00
8.200000000000000000e+01,2.686976000000000204e+04,3.852528290539304123e+00
8.300000000000000000e+01,2.719744000000000233e+04,4.053190586169665544e+00
8.400000000000000000e+01,2.752511999999999898e+04,4.065972153079033369e+00
8.500000000000000000e+01,2.785279999999999927e+04,3.784676236633882862e+00
8.600000000000000000e+01,2.818047999999999956e+04,3.832244428112126400e+00
8.700000000000000000e+01,2.850815999999999985e+04,4.258069954819686309e+00
8.800000000000000000e+01,2.883584000000000015e+04,4.828770189233260623e+00
8.900000000000000000e+01,2.916352000000000044e+04,5.475881055084559357e+00
9.000000000000000000e+01,2.949120000000000073e+04,6.450377474060945637e+00
9.100000000000000000e+01,2.981888000000000102e+04,7.291364525650013029e+00
9.200000000000000000e+01,3.014656000000000131e+04,7.755684319315949260e+00
9.300000000000000000e+01,3.047424000000000160e+04,8.203297164193999791e+00
