elapsed_ms,actual_interval_ms,encoder,delta_counts,command_speed_hz,reference_speed_hz,actual_speed_hz,position_error_arcsec
80,80.10495499911485,16994698,2.0,59.42,59.42,-3.8096991784512224,1.2820812149721557
164,83.63570800065645,16994711,13.0,59.42,59.42,-23.717651533594125,3.0421292904391697
247,83.46303799953603,16994721,10.0,59.42,59.42,-18.282091603932297,4.683708860935347
331,83.5216159994161,16994729,8.0,59.42,59.42,-14.615415547138527,6.24892186519319
414,83.40075500018429,16994733,4.0,59.42,59.42,-7.318297807959308,7.657821797672836
498,83.52789399941685,16994738,5.0,59.42,59.42,-9.13394815306042,9.107257797923456
581,83.49690500108409,16994740,2.0,59.42,59.42,-3.6549352487500912,10.440356272890854
665,83.41401200050313,16994742,2.0,59.42,59.42,-3.6585673549446254,11.772207980140578
748,83.50094699926558,16994744,2.0,59.42,59.42,-3.654758325707182,13.105367249539501
832,83.56994300083898,16994743,-1.0,59.42,59.42,1.825870464258521,14.32369283679348
915,83.41251199999533,16994747,4.0,59.42,59.42,-7.317266293335395,15.732769602633223
999,83.45832399936626,16994748,1.0,59.42,59.42,-1.8283124236494215,17.026663982995892
1082,83.54622700062464,16994745,-3.0,59.42,59.42,5.479166304800066,18.167385245672993
1166,83.50170599987905,16994745,0.0,59.42,59.42,-0.0,19.42330831133405
1249,83.58668799883162,16994743,-2.0,59.42,59.42,3.6510093719022074,20.60326194505557
1333,83.4689300008904,16994741,-2.0,59.42,59.42,3.6561602173017502,21.78144441752943
1416,83.39505000003555,16994739,-2.0,59.42,59.42,3.659399223933194,22.95851568399793
1499,83.39350999995077,16994736,-3.0,59.42,59.42,5.489200201253913,24.096939977991955
1583,83.54885699918668,16994735,-1.0,59.42,59.42,1.8263312761595936,25.31494841728446
1666,83.52919800017844,16994730,-5.0,59.42,59.42,9.133805560103308,26.3781659324585
1750,83.54502200018032,16994728,-2.0,59.42,59.42,3.6528302218813384,27.557492880914932
