bin,encoder_phase_counts,detrended_error_arcsec
0.000000000000000000e+00,0.000000000000000000e+00,-5.575534413996140692e+00
1.000000000000000000e+00,3.276800000000000068e+02,-1.651212057035067682e+00
2.000000000000000000e+00,6.553600000000000136e+02,1.423251267949456667e+00
3.000000000000000000e+00,9.830399999999999636e+02,2.783183657548769840e+00
4.000000000000000000e+00,1.310720000000000027e+03,2.317680107498648834e+00
5.000000000000000000e+00,1.638400000000000091e+03,1.570420480829659349e+00
6.000000000000000000e+00,1.966079999999999927e+03,2.107133770653647709e+00
7.000000000000000000e+00,2.293760000000000218e+03,3.211314359611941338e+00
8.000000000000000000e+00,2.621440000000000055e+03,3.635969007155077204e+00
9.000000000000000000e+00,2.949119999999999891e+03,2.910214778435813887e+00
1.000000000000000000e+01,3.276800000000000182e+03,2.620034359338649477e+00
1.100000000000000000e+01,3.604480000000000018e+03,3.234760970818910675e+00
1.200000000000000000e+01,3.932159999999999854e+03,4.326964235933412617e+00
1.300000000000000000e+01,4.259840000000000146e+03,4.727872278567335940e+00
1.400000000000000000e+01,4.587520000000000437e+03,4.070201170447355743e+00
1.500000000000000000e+01,4.915199999999999818e+03,3.489232156987417621e+00
1.600000000000000000e+01,5.242880000000000109e+03,4.280370791884020143e+00
1.700000000000000000e+01,5.570560000000000400e+03,4.877103015393818630e+00
1.800000000000000000e+01,5.898239999999999782e+03,4.512804384426789106e+00
1.900000000000000000e+01,6.225920000000000073e+03,4.221709048863648839e+00
2.000000000000000000e+01,6.553600000000000364e+03,3.861477199397592930e+00
2.100000000000000000e+01,6.881279999999999745e+03,4.216138779195557795e+00
2.200000000000000000e+01,7.208960000000000036e+03,4.132822416271811683e+00
2.300000000000000000e+01,7.536640000000000327e+03,3.929636273887524567e+00
2.400000000000000000e+01,7.864319999999999709e+03,3.616960532297350372e+00
2.500000000000000000e+01,8.192000000000000000e+03,3.339200101830156253e+00
2.600000000000000000e+01,8.519680000000000291e+03,3.684214433689952717e+00
2.700000000000000000e+01,8.847360000000000582e+03,4.135462057829739635e+00
2.800000000000000000e+01,9.175040000000000873e+03,4.428517776204717649e+00
2.900000000000000000e+01,9.502719999999999345e+03,4.247985483584606037e+00
3.000000000000000000e+01,9.830399999999999636e+03,4.029362682870587520e+00
3.100000000000000000e+01,1.015807999999999993e+04,4.002370357783281207e+00
3.200000000000000000e+01,1.048576000000000022e+04,5.029264457023362667e+00
3.300000000000000000e+01,1.081344000000000051e+04,5.572566671934269245e+00
3.400000000000000000e+01,1.114112000000000080e+04,5.014199032388329869e+00
3.500000000000000000e+01,1.146880000000000109e+04,4.141130256938217791e+00
3.600000000000000000e+01,1.179647999999999956e+04,3.768044761099542228e+00
3.700000000000000000e+01,1.212415999999999985e+04,4.195657663120718972e+00
3.800000000000000000e+01,1.245184000000000015e+04,4.267084514627492275e+00
3.900000000000000000e+01,1.277952000000000044e+04,3.149906029165538968e+00
4.000000000000000000e+01,1.310720000000000073e+04,1.858358551097349709e+00
4.100000000000000000e+01,1.343488000000000102e+04,1.624488943076889180e+00
4.200000000000000000e+01,1.376255999999999949e+04,1.856742217494512071e+00
4.300000000000000000e+01,1.409023999999999978e+04,1.743358995663293776e+00
4.400000000000000000e+01,1.441792000000000007e+04,8.683653321402440284e-01
4.500000000000000000e+01,1.474560000000000036e+04,1.181645197814763931e-01
4.600000000000000000e+01,1.507328000000000065e+04,1.149189209964243341e+00
4.700000000000000000e+01,1.540096000000000095e+04,1.872335271878668328e+00
4.800000000000000000e+01,1.572863999999999942e+04,1.330728887191599208e+00
4.900000000000000000e+01,1.605631999999999971e+04,4.440986238026329858e-01
5.000000000000000000e+01,1.638400000000000000e+04,1.682820746518386701e-01
5.100000000000000000e+01,1.671168000000000029e+04,3.535798561793672690e-01
5.200000000000000000e+01,1.703936000000000058e+04,-3.085409527904428018e-01
5.300000000000000000e+01,1.736704000000000087e+04,-1.533415782984773434e+00
5.400000000000000000e+01,1.769472000000000116e+04,-2.678250411778298368e+00
5.500000000000000000e+01,1.802240000000000146e+04,-2.789625602214359734e+00
5.600000000000000000e+01,1.835008000000000175e+04,-2.513777690041169244e+00
5.700000000000000000e+01,1.867776000000000204e+04,-2.564884454886118270e+00
5.800000000000000000e+01,1.900543999999999869e+04,-3.161103297996602723e+00
5.900000000000000000e+01,1.933311999999999898e+04,-3.429949980828236988e+00
6.000000000000000000e+01,1.966079999999999927e+04,-2.500967623085370128e+00
6.100000000000000000e+01,1.998847999999999956e+04,-2.057045751197529526e+00
6.200000000000000000e+01,2.031615999999999985e+04,-2.156701337700020371e+00
6.300000000000000000e+01,2.064384000000000015e+04,-2.592925297521948558e+00
6.400000000000000000e+01,2.097152000000000044e+04,-2.907793709444797425e+00
6.500000000000000000e+01,2.129920000000000073e+04,-2.293439805406330745e+00
6.600000000000000000e+01,2.162688000000000102e+04,-2.144220672142406858e+00
6.700000000000000000e+01,2.195456000000000131e+04,-1.854288452498277673e+00
6.800000000000000000e+01,2.228224000000000160e+04,-1.842521071192246174e+00
6.900000000000000000e+01,2.260992000000000189e+04,-1.571271347900029092e+00
7.000000000000000000e+01,2.293760000000000218e+04,-1.104529996840177608e+00
7.100000000000000000e+01,2.326527999999999884e+04,-3.905377393380279893e-01
7.200000000000000000e+01,2.359295999999999913e+04,-2.807113719927881168e-01
7.300000000000000000e+01,2.392063999999999942e+04,-4.095357651782680075e-01
7.400000000000000000e+01,2.424831999999999971e+04,-5.663020790886422740e-01
7.500000000000000000e+01,2.457600000000000000e+04,-5.655042312650581104e-01
7.600000000000000000e+01,2.490368000000000029e+04,-2.462406420289771705e-02
7.700000000000000000e+01,2.523136000000000058e+04,-3.617529093941449503e-01
7.800000000000000000e+01,2.555904000000000087e+04,-1.017447875193832063e+00
7.900000000000000000e+01,2.588672000000000116e+04,-2.204654289035310022e+00
8.000000000000000000e+01,2.621440000000000146e+04,-2.803598415426147739e+00
8.100000000000000000e+01,2.654208000000000175e+04,-2.583380885366024948e+00
8.200000000000000000e+01,2.686976000000000204e+04,-2.519843732333154396e+00
8.300000000000000000e+01,2.719744000000000233e+04,-3.290098899169029867e+00
8.400000000000000000e+01,2.752511999999999898e+04,-4.136528699828037503e+00
8.500000000000000000e+01,2.785279999999999927e+04,-4.745291023119427187e+00
8.600000000000000000e+01,2.818047999999999956e+04,-4.249412758376362120e+00
8.700000000000000000e+01,2.850815999999999985e+04,-3.864403186907590992e+00
8.800000000000000000e+01,2.883584000000000015e+04,-3.774498756672399313e+00
8.900000000000000000e+01,2.916352000000000044e+04,-3.823774870398197745e+00
9.000000000000000000e+01,2.949120000000000073e+04,-3.420768999182045800e+00
9.100000000000000000e+01,2.981888000000000102e+04,-2.696037131772870410e+00
9.200000000000000000e+01,3.014656000000000131e+04,-1.834238078504267344e+00
9.300000000000000000e+01,3.047424000000000160e+04,-9.283690387000304023e-01
9.400000000000000000e+01,3.080192000000000189e+04,-3.485541319425108919e-01
9.500000000000000000e+01,3.112960000000000218e+04,-3.540394579084248927e-01
9.600000000000000000e+01,3.145727999999999884e+04,-1.630691456163185504e-01
9.700000000000000000e+01,3.178495999999999913e+04,7.270524987446934650e-01
9.800000000000000000e+01,3.211263999999999942e+04,1.261908602363791987e+00
9.900000000000000000e+01,3.244031999999999971e+04,1.214988370434045173e+00
1.000000000000000000e+02,3.276800000000000000e+04,6.937418821180120210e-01
1.010000000000000000e+02,3.309568000000000029e+04,1.023747855317052702e+00
1.020000000000000000e+02,3.342336000000000058e+04,1.764928022353824177e+00
1.030000000000000000e+02,3.375104000000000087e+04,2.373994064236086832e+00
1.040000000000000000e+02,3.407872000000000116e+04,2.283007182739628771e+00
1.050000000000000000e+02,3.440640000000000146e+04,1.760355049213854661e+00
1.060000000000000000e+02,3.473408000000000175e+04,2.075745711391849380e+00
1.070000000000000000e+02,3.506176000000000204e+04,2.179267211736928278e+00
1.080000000000000000e+02,3.538944000000000233e+04,2.226800685680395464e+00
1.090000000000000000e+02,3.571712000000000262e+04,1.976494396643005969e+00
1.100000000000000000e+02,3.604480000000000291e+04,1.410271346008218574e+00
1.110000000000000000e+02,3.637248000000000320e+04,1.485414896840664412e+00
1.120000000000000000e+02,3.670016000000000349e+04,1.634595520831693349e+00
1.130000000000000000e+02,3.702784000000000378e+04,1.357202280016755580e+00
1.140000000000000000e+02,3.735552000000000407e+04,1.609516972471174867e+00
1.150000000000000000e+02,3.768320000000000437e+04,1.905334441156898651e+00
1.160000000000000000e+02,3.801087999999999738e+04,1.793898402534784386e+00
1.170000000000000000e+02,3.833855999999999767e+04,1.651381986732022078e+00
1.180000000000000000e+02,3.866623999999999796e+04,7.435620770263092760e-01
1.190000000000000000e+02,3.899391999999999825e+04,-2.963094086530251303e-01
1.200000000000000000e+02,3.932159999999999854e+04,-4.064652047422227521e-01
