elapsed_ms,actual_interval_ms,encoder,delta_counts,command_speed_hz,reference_speed_hz,actual_speed_hz,position_error_arcsec
81,80.97531699968386,16995353,812.0,59.42,59.42,-1530.1127773045177,32.580458007541615
165,83.91221800047788,16995366,13.0,59.42,59.42,-23.639496433209562,34.344664983506576
249,83.78999499836937,16995371,5.0,59.42,59.42,-9.105376520667503,35.79804316297588
332,83.37527000185219,16995375,4.0,59.42,59.42,-7.320534763922695,37.206559783559676
415,83.38103599817259,16995376,1.0,59.42,59.42,-1.8300071328970315,38.499291699248886
499,83.45285800169222,16995377,1.0,59.42,59.42,-1.8284321745087015,39.793103867248675
582,83.43426400097087,16995377,0.0,59.42,59.42,-0.0,41.048012558879776
666,83.46093900036067,16995377,0.0,59.42,59.42,-0.0,42.30332246084076
750,83.72939599939855,16995376,-1.0,59.42,59.42,1.8223933040923415,43.524046330817015
833,83.67157300017425,16995375,-1.0,59.42,59.42,1.8236527072902313,44.74390050313162
917,83.88358099909965,16995371,-4.0,59.42,59.42,7.276174374417219,45.8510719920622
1001,83.88073899914161,16995368,-3.0,59.42,59.42,5.457315676244632,46.996824545174
1085,83.83118799974909,16995362,-6.0,59.42,59.42,10.921082780703767,48.02596038774526
1169,83.83356900230865,16995359,-3.0,59.42,59.42,5.460386302560898,49.171003471675306
1252,83.7934579976718,16995354,-5.0,59.42,59.42,9.105000215484582,50.238195638890396
1336,83.82293500108062,16995347,-7.0,59.42,59.42,12.742517717391191,51.228583540873295
1420,83.83685200169566,16995339,-8.0,59.42,59.42,14.560459939208004,52.18055695429893
1504,83.85900299981586,16995333,-6.0,59.42,59.42,10.9174603918438,53.210111153594
1588,83.85906900002738,16995325,-8.0,59.42,59.42,14.556602399194313,54.162418725948726
1672,83.86382199751097,16995316,-9.0,59.42,59.42,16.375249576220824,55.07617397683884
1755,83.73754599961103,16995305,-11.0,59.42,59.42,20.044375278000107,55.91078233027688
1839,83.79023900124594,16995294,-11.0,59.42,59.42,20.031770011421518,56.74618322268595
1923,83.79548499942757,16995287,-7.0,59.42,59.42,12.746691953418452,57.73615825777211
2007,83.80820300226333,16995274,-13.0,59.42,59.42,23.668835592041386,58.49458172147782
2091,83.83914099977119,16995266,-8.0,59.42,59.42,14.56006240573638,59.446589563008196
2174,83.76687999771093,16995253,-13.0,59.42,59.42,23.68051165543239,60.20439150031588
2258,83.38844900208642,16995244,-9.0,59.42,59.42,16.468600052636063,61.11099681453587
2341,83.63343999735662,16995232,-12.0,59.42,59.42,21.893810508785407,61.905415532312674
2425,83.85008700133767,16995219,-13.0,59.42,59.42,23.6570127600864,62.66446896015972
2509,83.87612300066394,16995205,-14.0,59.42,59.42,25.468874720557725,63.38529017752192
2593,83.85806899968884,16995191,-14.0,59.42,59.42,25.474357974519144,64.10583985029733
2677,83.82197999890195,16995178,-13.0,59.42,59.42,23.66494537770386,64.86447052950417
2761,83.83562699964386,16995161,-17.0,59.42,59.42,30.941429478854133,65.46881122972667
2844,83.79504200274823,16995142,-19.0,59.42,59.42,34.59834678261652,65.99529388406476
2928,83.94540999870514,16995123,-19.0,59.42,59.42,34.53637217234057,66.52403817644006
3012,83.94305999900098,16995107,-16.0,59.42,59.42,29.084074967353533,67.16861855264754
3096,83.80898100222112,16995094,-13.0,59.42,59.42,23.668615873905317,67.9270537180075
3180,83.87584499723744,16995077,-17.0,59.42,59.42,30.92659323683042,68.53199932456369
3264,83.84377400216181,16995059,-18.0,59.42,59.42,32.75833016747532,69.09783875149066
3348,83.64869700017152,16995040,-19.0,59.42,59.42,34.658877255064176,69.62212027637781
3431,83.87355800005025,16995022,-18.0,59.42,59.42,32.74669749014766,70.18840767510954
3515,83.6836439993931,16995002,-20.0,59.42,59.42,36.46779306744975,70.6745910170766
3599,83.54758999848855,16994982,-20.0,59.42,59.42,36.52717945012189,71.15872801333293
3682,83.42925900069531,16994963,-19.0,59.42,59.42,34.750038015450166,71.67970903984434
3765,83.43035800135112,16994946,-17.0,59.42,59.42,31.091729710460925,72.27795421571008
3849,83.49525899757282,16994925,-21.0,59.42,59.42,38.3775766623845,72.72268030792063
3932,83.42883099976461,16994908,-17.0,59.42,59.42,31.092298783765994,73.3209025166327
4016,83.42731700031436,16994892,-16.0,59.42,59.42,29.263871089019926,73.95772576356661
4099,83.43584600152099,16994877,-15.0,59.42,59.42,27.4320746904547,74.63330110235681
4183,83.4214440001233,16994858,-19.0,59.42,59.42,34.753293432210484,75.1541645858868
4266,83.42158899904462,16994837,-21.0,59.42,59.42,38.411468081262484,75.59778263067136
4350,83.41825400202652,16994817,-20.0,59.42,59.42,36.58381308755111,76.0799743246224
4433,83.51807600047323,16994798,-19.0,59.42,59.42,34.71308321157414,76.60229121987216
4516,83.41540799665381,16994777,-21.0,59.42,59.42,38.414314334511694,77.04581629813131
4600,83.41940800164593,16994759,-18.0,59.42,59.42,32.92497629803136,77.60527296865891
4683,83.43638899896177,16994740,-19.0,59.42,59.42,34.747068475255745,78.12636123524612
4767,83.40578800198273,16994719,-21.0,59.42,59.42,38.41874502820867,78.56974162217168
4850,83.40825999766821,16994696,-23.0,59.42,59.42,42.07642605748056,78.93591156998293
4934,83.41619800194167,16994672,-24.0,59.42,59.42,43.90165774415609,79.26357710102138
5017,83.51194100032444,16994649,-23.0,59.42,59.42,42.02418770701744,79.63130648239327
5100,83.42026099853683,16994626,-23.0,59.42,59.42,42.070372861055375,79.9976569335083
5184,83.53485300176544,16994601,-25.0,59.42,59.42,45.665936175698775,80.28848330750496
5268,83.56042999730562,16994577,-24.0,59.42,59.42,43.82587996636786,80.61831818691319
5351,83.42970700323349,16994549,-28.0,59.42,59.42,51.21030734693114,80.7916916633607
5434,83.42621699921438,16994524,-25.0,59.42,59.42,45.72540147254817,81.08088407719173
5518,83.44054500048514,16994501,-23.0,59.42,59.42,42.060145752338926,81.44753961364128
5601,83.46422599788639,16994476,-25.0,59.42,59.42,45.704578458819014,81.73730370894354
5685,83.51681299973279,16994447,-29.0,59.42,59.42,52.98392825572927,81.87336350964932
5768,83.42652600185829,16994421,-26.0,59.42,59.42,47.554241395136486,82.12393676127812
5852,83.45436799936579,16994395,-26.0,59.42,59.42,47.538376376897965,82.3749287756908
5935,83.43515299930004,16994369,-26.0,59.42,59.42,47.54932439907292,82.62563178329218
6019,83.42755299963756,16994343,-26.0,59.42,59.42,47.55365599980183,82.87622048167364
6102,83.43663100095,16994319,-24.0,59.42,59.42,43.89090656067242,83.20419333906486
6185,83.43425700149965,16994292,-27.0,59.42,59.42,49.3786748385732,83.41625906042889
6269,83.49722899947665,16994265,-27.0,59.42,59.42,49.3414343953956,83.6292719239357
6352,83.42520400037756,16994242,-23.0,59.42,59.42,42.06788016196061,83.99569672119672
6436,83.48439199835411,16994211,-31.0,59.42,59.42,56.659987527587866,84.05402126812342
6520,83.87843400123529,16994184,-27.0,59.42,59.42,49.117190800371,84.27276771693514
6603,83.72108500043396,16994158,-26.0,59.42,59.42,47.386929543847124,84.52777133841182
6687,83.43389699803083,16994127,-31.0,59.42,59.42,56.6942786992994,84.58533640581834
6770,83.43227500154171,16994106,-21.0,59.42,59.42,38.40654834194307,85.0291151754271
6854,83.48620199831203,16994077,-29.0,59.42,59.42,53.00335531150966,85.16471456562644
6937,83.43085700107622,16994051,-26.0,59.42,59.42,47.55177279551167,85.41535295846103
7021,83.41617800033418,16994021,-30.0,59.42,59.42,54.87708533866969,85.51127532977483
7104,83.42908799750148,16993994,-27.0,59.42,59.42,49.38173418602372,85.723263305765
7188,83.41158700204687,16993965,-29.0,59.42,59.42,53.050768929937895,85.85774043512271
7271,83.43434299968067,16993936,-29.0,59.42,59.42,53.0362997901468,85.99255983032957
7354,83.4179449993826,16993906,-30.0,59.42,59.42,54.875922905843346,86.08850877852387
7438,83.49349299896858,16993880,-26.0,59.42,59.42,47.51609992288871,86.34008925982901
7521,83.42144200287294,16993858,-22.0,59.42,59.42,40.24065651651516,86.74508128387563
7605,83.41867499984801,16993829,-29.0,59.42,59.42,53.046261261438914,86.87966502159328
7688,83.4168609981134,16993804,-25.0,59.42,59.42,45.730530014924376,87.16871671473551
7772,83.41301700056647,16993780,-24.0,59.42,59.42,43.90333195806993,87.49633440132635
7855,83.47380800114479,16993754,-26.0,59.42,59.42,47.52730528593582,87.74761880673078
7938,83.46989599886001,16993730,-24.0,59.42,59.42,43.873414854260936,88.07609199256026
8022,83.42268599881209,16993703,-27.0,59.42,59.42,49.38552382422289,88.28798367808879
8105,83.43740400232491,16993681,-22.0,59.42,59.42,40.23295827440247,88.69321578158105
8189,83.4160249978595,16993656,-25.0,59.42,59.42,45.730988328955824,88.98225490070472
8272,83.44231299997773,16993636,-20.0,59.42,59.42,36.57326484347114,89.46480845852551
8356,83.42426800300018,16993614,-22.0,59.42,59.42,40.239293362805114,89.86984298755692
8439,83.39335899654543,16993586,-28.0,59.42,59.42,51.23262798032859,90.04266976499459
8523,83.50074300324195,16993565,-21.0,59.42,59.42,38.375056171662926,90.48747834042064
8606,83.72362799855182,16993543,-22.0,59.42,59.42,40.095414807013206,90.89701544959513
8690,83.8231640009326,16993522,-21.0,59.42,59.42,38.22744871679324,91.3466734584909
8774,83.8243619982677,16993498,-24.0,59.42,59.42,43.687888433623634,91.68047805664683
8858,83.82758200241369,16993472,-26.0,59.42,59.42,47.326727808226266,91.93708346624999
8942,83.8437479978893,16993450,-22.0,59.42,59.42,40.03797151141798,92.34842726279702
9025,83.84986799865146,16993426,-24.0,59.42,59.42,43.67459916643991,92.68261548873411
9109,83.82731400342891,16993404,-22.0,59.42,59.42,40.045820788349324,93.09371210670609
9193,83.82739599983324,16993377,-27.0,59.42,59.42,49.14709562114032,93.31169090888811
9277,83.83127499837428,16993353,-24.0,59.42,59.42,43.684285787983285,93.64559948331834
9361,83.83626100112451,16993328,-25.0,59.42,59.42,45.50175807069727,93.94095924084337
9445,83.84966299854568,16993299,-29.0,59.42,59.42,52.77360301617133,94.08202533436567
9528,83.71676900060265,16993277,-22.0,59.42,59.42,40.098699864131575,94.49145927949546
9612,83.98536599997897,16993247,-30.0,59.42,59.42,54.50517080262705,94.59594262964066
9696,83.88630500121508,16993220,-27.0,59.42,59.42,49.11258216481611,94.81480746370339
9780,83.6435019991768,16993195,-25.0,59.42,59.42,45.606618260227116,95.1072679933173
9863,83.48969700091402,16993167,-28.0,59.42,59.42,51.17351111542813,95.28154376057304
9947,83.47880799919949,16993137,-30.0,59.42,59.42,54.83591379016692,95.37840813012791
10031,83.86331099973177,16993107,-30.0,59.42,59.42,54.58449784751095,95.48105568915659
10114,83.73472599851084,16993080,-27.0,59.42,59.42,49.20148716971104,95.69764067080808
10198,83.9118639996741,16993052,-28.0,59.42,59.42,50.91605327128228,95.878266119965
10282,83.86406800127588,16993023,-29.0,59.42,59.42,52.76453830092858,96.0195488746318
10366,83.82292600072105,16992991,-32.0,59.42,59.42,58.251515819884375,96.04434139588176
10450,83.84256799763534,16992964,-27.0,59.42,59.42,49.1382020525802,96.26254839534145
10534,83.86521900320076,16992933,-31.0,59.42,59.42,56.402697871622664,96.32660084223961
10618,83.84188699710649,16992903,-30.0,59.42,59.42,54.59844574953306,96.42892616953982
10701,83.84788500188733,16992875,-28.0,59.42,59.42,50.95490407902157,96.60858933058445
10785,83.84989299884182,16992847,-28.0,59.42,59.42,50.953683835458364,96.78828269328378
10869,83.8292430016736,16992818,-29.0,59.42,59.42,52.78645815800408,96.92904165601436
10953,83.84990299964556,16992787,-31.0,59.42,59.42,56.41300037514647,96.9928637396893
11037,83.84439899964491,16992753,-34.0,59.42,59.42,61.876384626145054,96.94073160997687
11121,83.7952479996602,16992724,-29.0,59.42,59.42,52.80787316415537,97.08097926450561
11204,83.68513000095845,16992694,-30.0,59.42,59.42,54.70071826019237,97.18094685881333
11288,83.54965599937714,16992662,-32.0,59.42,59.42,58.44204194014158,97.20162921136995
11371,83.43263899951125,16992636,-26.0,59.42,59.42,47.550757159596024,97.45229440668614
11455,83.45077500052867,16992609,-27.0,59.42,59.42,49.368900970049715,97.66460857011167
11538,83.44197800033726,16992581,-28.0,59.42,59.42,51.20277634696929,97.83816661079194
11622,83.54879100079415,16992552,-29.0,59.42,59.42,52.96364884661154,97.97470738261856
11705,83.59176199883223,16992523,-29.0,59.42,59.42,52.936422469319616,98.11189446779822
11789,83.43469199826359,16992495,-28.0,59.42,59.42,51.2072476708959,98.28534292199816
11872,83.4214320020692,16992468,-27.0,59.42,59.42,49.38626619083703,98.49721574655356
11956,83.41494599881116,16992443,-25.0,59.42,59.42,45.73157987393971,98.78623863678973
12039,83.41423499950906,16992415,-28.0,59.42,59.42,51.21980603820374,98.95937940366423
12122,83.55096200102707,16992393,-22.0,59.42,59.42,40.17827578943656,99.36631949752808
12206,83.4935780003434,16992370,-23.0,59.42,59.42,42.033430216160646,99.7337726867557
12289,83.46596800038242,16992348,-22.0,59.42,59.42,40.21918961911062,100.13943441241648
12373,83.47884899922065,16992320,-28.0,59.42,59.42,51.18016106738472,100.31354701826875
12456,83.49224400080857,16992298,-22.0,59.42,59.42,40.206532162646035,100.7196039530407
12540,83.47658099955879,16992274,-24.0,59.42,59.42,43.869901368137675,101.04817768587662
12623,83.50678100032383,16992254,-20.0,59.42,59.42,36.54502994778551,101.53170088674437
12707,83.46007499858388,16992230,-24.0,59.42,59.42,43.87857757211622,101.86002635797776
12790,83.45806700162939,16992206,-24.0,59.42,59.42,43.87963328851725,102.18832162755646
12874,83.46631899985368,16992185,-21.0,59.42,59.42,38.390883191226116,102.63261244230505
12957,83.45953299794928,16992159,-26.0,59.42,59.42,47.53543440444942,102.88368214184734
13041,83.45281299989438,16992141,-18.0,59.42,59.42,32.911796888781645,103.44364124651455
13124,83.49552400250104,16992121,-20.0,59.42,59.42,36.549957006181394,103.92699513439585
13208,83.50982299816678,16992097,-24.0,59.42,59.42,43.85243847397918,104.25606884974472
13291,83.46915500078467,16992071,-26.0,59.42,59.42,47.52995470258091,104.50728327082481
13375,83.46500400148216,16992047,-24.0,59.42,59.42,43.875986334763354,104.83568287765047
13458,83.46041699769557,16992024,-23.0,59.42,59.42,42.050131195389326,105.20263730260008
13542,83.46011400135467,16992002,-22.0,59.42,59.42,40.22201064445601,105.60821098009087
13625,83.53508599975612,16991974,-28.0,59.42,59.42,51.145705859601,105.78316942909413
13709,83.50215799873695,16991949,-25.0,59.42,59.42,45.68381652702558,106.07350404776744
13792,83.45485199970426,16991924,-25.0,59.42,59.42,45.709712188316125,106.36312715169241
13876,83.49673799966695,16991899,-25.0,59.42,59.42,45.68678198710249,106.65338024985344
13959,83.47637400220265,16991873,-26.0,59.42,59.42,47.52584433225762,106.90470324967792
14042,83.44680200025323,16991846,-27.0,59.42,59.42,49.37125148142283,107.11695765644787
